Data;Hora;Acessos
01/01/2018;00:00;2859964
01/01/2018;01:00;2601217
01/01/2018;02:00;2454873
01/01/2018;03:00;2224689
01/01/2018;04:00;2285035
01/01/2018;05:00;227149
01/01/2018;06:00;2310673
01/01/2018;07:00;2357576
01/01/2018;08:00;238977
01/01/2018;09:00;2728570
01/01/2018;10:00;2719425
01/01/2018;11:00;2895857
01/01/2018;12:00;2994832
01/01/2018;13:00;3056054
01/01/2018;14:00;3079472
01/01/2018;15:00;3112337
01/01/2018;16:00;3168329
01/01/2018;17:00;3306835
01/01/2018;18:00;3398784
01/01/2018;19:00;3334278
01/01/2018;20:00;3265380
01/01/2018;21:00;3182999
01/01/2018;22:00;3106050
01/01/2018;23:00;2937157
02/01/2018;00:00;2779614
02/01/2018;01:00;2633773
02/01/2018;02:00;2538825
02/01/2018;03:00;2473151
02/01/2018;04:00;2462698
02/01/2018;05:00;null
02/01/2018;06:00;2651930
02/01/2018;07:00;2969431
02/01/2018;08:00;350242
02/01/2018;09:00;3865878
02/01/2018;10:00;4017658
02/01/2018;11:00;4201776
02/01/2018;12:00;3987110
02/01/2018;13:00;4051054
02/01/2018;14:00;4068820
02/01/2018;15:00;4050262
02/01/2018;16:00;4062756
02/01/2018;17:00;4034462
02/01/2018;18:00;3997997
02/01/2018;19:00;3851533
02/01/2018;20:00;3748224
02/01/2018;21:00;3631367
02/01/2018;22:00;3532921
02/01/2018;23:00;3356228
03/01/2018;00:00;3134138
03/01/2018;01:00;2951817
03/01/2018;02:00;2822173
03/01/2018;03:00;2756269
03/01/2018;04:00;2852458
03/01/2018;05:00;2764382
03/01/2018;06:00;2920377
03/01/2018;07:00;3159451
03/01/2018;08:00;3626592
03/01/2018;09:00;3891298
03/01/2018;10:00;3947593
03/01/2018;11:00;398913
03/01/2018;12:00;3880746
03/01/2018;13:00;3925092
03/01/2018;14:00;398068
03/01/2018;15:00;3990739
03/01/2018;16:00;4028845
03/01/2018;17:00;4059874
03/01/2018;18:00;4003479
03/01/2018;19:00;3891146
03/01/2018;20:00;3757669
03/01/2018;21:00;3660490
03/01/2018;22:00;3544660
03/01/2018;23:00;3381285
04/01/2018;00:00;3147714
04/01/2018;01:00;2952721
04/01/2018;02:00;2820232
04/01/2018;03:00;2757983
04/01/2018;04:00;2852416
04/01/2018;05:00;2775025
04/01/2018;06:00;2929348
04/01/2018;07:00;3163519
04/01/2018;08:00;3614214
04/01/2018;09:00;3902775
04/01/2018;10:00;3965855
04/01/2018;11:00;4031380
04/01/2018;12:00;3868278
04/01/2018;13:00;3775785
04/01/2018;14:00;3915883
04/01/2018;15:00;3905154
04/01/2018;16:00;3980355
04/01/2018;17:00;404954
04/01/2018;18:00;3979759
04/01/2018;19:00;386441
04/01/2018;20:00;3735647
04/01/2018;21:00;3637538
04/01/2018;22:00;3521933
04/01/2018;23:00;3382589
05/01/2018;00:00;3161496
05/01/2018;01:00;2970594
05/01/2018;02:00;284685
05/01/2018;03:00;2761663
05/01/2018;04:00;2853399
05/01/2018;05:00;2744992
05/01/2018;06:00;2831458
05/01/2018;07:00;2936011
05/01/2018;08:00;3231935
05/01/2018;09:00;3513311
05/01/2018;10:00;367974
05/01/2018;11:00;3777016
05/01/2018;12:00;null
05/01/2018;13:00;3691894
05/01/2018;14:00;3675568
05/01/2018;15:00;3644112
05/01/2018;16:00;3649644
05/01/2018;17:00;3752615
05/01/2018;18:00;3833455
05/01/2018;19:00;3728529
05/01/2018;20:00;3616986
05/01/2018;21:00;3523310
05/01/2018;22:00;3410891
05/01/2018;23:00;3285737
06/01/2018;00:00;3057330
06/01/2018;01:00;2882667
06/01/2018;02:00;2741669
06/01/2018;03:00;2650143
06/01/2018;04:00;2607275
06/01/2018;05:00;2599093
06/01/2018;06:00;2615670
06/01/2018;07:00;2633881
06/01/2018;08:00;2648812
06/01/2018;09:00;2820593
06/01/2018;10:00;3011041
06/01/2018;11:00;3173138
06/01/2018;12:00;3252271
06/01/2018;13:00;327990
06/01/2018;14:00;3248893
06/01/2018;15:00;3260630
06/01/2018;16:00;330379
06/01/2018;17:00;3435310
06/01/2018;18:00;3585860
06/01/2018;19:00;3572213
06/01/2018;20:00;3500930
06/01/2018;21:00;3404636
06/01/2018;22:00;3315464
06/01/2018;23:00;3180058
07/01/2018;00:00;2992587
07/01/2018;01:00;2802566
07/01/2018;02:00;2684288
07/01/2018;03:00;2620617
07/01/2018;04:00;2601970
07/01/2018;05:00;2649961
07/01/2018;06:00;2806048
07/01/2018;07:00;313026
07/01/2018;08:00;3719245
07/01/2018;09:00;4031252
07/01/2018;10:00;4101123
07/01/2018;11:00;4140659
07/01/2018;12:00;4019448
07/01/2018;13:00;4048085
07/01/2018;14:00;4207680
07/01/2018;15:00;4120631
07/01/2018;16:00;4162727
07/01/2018;17:00;4225189
07/01/2018;18:00;4175914
07/01/2018;19:00;4005551
07/01/2018;20:00;3891685
07/01/2018;21:00;3781675
07/01/2018;22:00;3692461
07/01/2018;23:00;3488911
08/01/2018;00:00;3272954
08/01/2018;01:00;3105326
08/01/2018;02:00;2967087
08/01/2018;03:00;null
08/01/2018;04:00;2860695
08/01/2018;05:00;2914364
08/01/2018;06:00;3035584
08/01/2018;07:00;3323672
08/01/2018;08:00;3783943
08/01/2018;09:00;4134637
08/01/2018;10:00;4239761
08/01/2018;11:00;4333422
08/01/2018;12:00;4220362
08/01/2018;13:00;4232494
08/01/2018;14:00;4269714
08/01/2018;15:00;4237586
08/01/2018;16:00;4224975
08/01/2018;17:00;4221616
08/01/2018;18:00;4175838
08/01/2018;19:00;4032431
08/01/2018;20:00;3886648
08/01/2018;21:00;3772228
08/01/2018;22:00;3666376
08/01/2018;23:00;3468163
09/01/2018;00:00;3241785
09/01/2018;01:00;3051579
09/01/2018;02:00;2947211
09/01/2018;03:00;2861647
09/01/2018;04:00;2840232
09/01/2018;05:00;2891085
09/01/2018;06:00;3026238
09/01/2018;07:00;3286196
09/01/2018;08:00;3756485
09/01/2018;09:00;420878
09/01/2018;10:00;4166623
09/01/2018;11:00;4182787
09/01/2018;12:00;4034022
09/01/2018;13:00;4044854
09/01/2018;14:00;406458
09/01/2018;15:00;4051434
09/01/2018;16:00;4103665
09/01/2018;17:00;4190111
09/01/2018;18:00;4193777
09/01/2018;19:00;4052112
09/01/2018;20:00;3926981
09/01/2018;21:00;3837896
09/01/2018;22:00;3700961
09/01/2018;23:00;3512893
10/01/2018;00:00;3268910
10/01/2018;01:00;3074207
10/01/2018;02:00;2968554
10/01/2018;03:00;2888831
10/01/2018;04:00;2872498
10/01/2018;05:00;2886057
10/01/2018;06:00;3005341
10/01/2018;07:00;3322494
10/01/2018;08:00;376525
10/01/2018;09:00;4020367
10/01/2018;10:00;4098157
10/01/2018;11:00;4135051
10/01/2018;12:00;4022147
10/01/2018;13:00;4036958
10/01/2018;14:00;4064480
10/01/2018;15:00;4030747
10/01/2018;16:00;420438
10/01/2018;17:00;4142096
10/01/2018;18:00;4103250
10/01/2018;19:00;3958154
10/01/2018;20:00;3857532
10/01/2018;21:00;3763322
10/01/2018;22:00;3655313
10/01/2018;23:00;3489258
11/01/2018;00:00;3237441
11/01/2018;01:00;3037363
11/01/2018;02:00;2931731
11/01/2018;03:00;2863916
11/01/2018;04:00;2834768
11/01/2018;05:00;2877230
11/01/2018;06:00;3016295
11/01/2018;07:00;331918
11/01/2018;08:00;3708490
11/01/2018;09:00;3963342
11/01/2018;10:00;4022939
11/01/2018;11:00;4045729
11/01/2018;12:00;3893370
11/01/2018;13:00;3783361
11/01/2018;14:00;3919748
11/01/2018;15:00;3951544
11/01/2018;16:00;399202
11/01/2018;17:00;4107222
11/01/2018;18:00;4060985
11/01/2018;19:00;3915323
11/01/2018;20:00;3796612
11/01/2018;21:00;3712373
11/01/2018;22:00;3564690
11/01/2018;23:00;346298
12/01/2018;00:00;3272370
12/01/2018;01:00;3073694
12/01/2018;02:00;2934220
12/01/2018;03:00;2847274
12/01/2018;04:00;2807537
12/01/2018;05:00;2833422
12/01/2018;06:00;2891939
12/01/2018;07:00;3000115
12/01/2018;08:00;3281846
12/01/2018;09:00;3543826
12/01/2018;10:00;3674961
12/01/2018;11:00;3740568
12/01/2018;12:00;3668528
12/01/2018;13:00;3693566
12/01/2018;14:00;3659132
12/01/2018;15:00;3639963
12/01/2018;16:00;366894
12/01/2018;17:00;3782650
12/01/2018;18:00;3849435
